#########################
Running start Llama-3.1-70B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-18 22:02:52.924854-05:00
##########################

completed 1/164, Solved: True, number of success = 1/1, acc = 100.0
completed 52/81, Solved: True, number of success = 31/52, acc = 59.62
completed 53/81, Solved: False, number of success = 31/53, acc = 58.49
completed 54/81, Solved: True, number of success = 32/54, acc = 59.26
completed 55/81, Solved: True, number of success = 33/55, acc = 60.0
completed 56/81, Solved: True, number of success = 34/56, acc = 60.71
completed 57/81, Solved: True, number of success = 35/57, acc = 61.4
completed 58/81, Solved: False, number of success = 35/58, acc = 60.34
completed 59/81, Solved: False, number of success = 35/59, acc = 59.32
completed 60/81, Solved: True, number of success = 36/60, acc = 60.0
completed 61/81, Solved: True, number of success = 37/61, acc = 60.66
completed 62/81, Solved: False, number of success = 37/62, acc = 59.68
completed 63/81, Solved: False, number of success = 37/63, acc = 58.73
completed 64/81, Solved: True, number of success = 38/64, acc = 59.38
completed 65/81, Solved: False, number of success = 38/65, acc = 58.46
completed 66/81, Solved: False, number of success = 38/66, acc = 57.58
completed 67/81, Solved: False, number of success = 38/67, acc = 56.72
completed 68/81, Solved: True, number of success = 39/68, acc = 57.35
completed 69/81, Solved: True, number of success = 40/69, acc = 57.97
completed 70/81, Solved: True, number of success = 41/70, acc = 58.57
completed 71/81, Solved: True, number of success = 42/71, acc = 59.15
completed 72/81, Solved: False, number of success = 42/72, acc = 58.33
completed 73/81, Solved: True, number of success = 43/73, acc = 58.9
completed 74/81, Solved: True, number of success = 44/74, acc = 59.46
completed 75/81, Solved: True, number of success = 45/75, acc = 60.0
completed 76/81, Solved: True, number of success = 46/76, acc = 60.53
completed 77/81, Solved: True, number of success = 47/77, acc = 61.04
completed 78/81, Solved: True, number of success = 48/78, acc = 61.54
completed 79/81, Solved: True, number of success = 49/79, acc = 62.03
completed 80/81, Solved: True, number of success = 50/80, acc = 62.5
completed 81/81, Solved: True, number of success = 51/81, acc = 62.96
#########################
Running end Llama-3.1-70B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-20 15:21:36.881718-05:00
##########################

