#########################
Running start Llama-3.1-8B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-18 12:47:19.078306-05:00
##########################

completed 1/164, Solved: True, number of success = 1/1, acc = 100.0
completed 138/164, Solved: False, number of success = 96/138, acc = 69.57
completed 139/164, Solved: True, number of success = 97/139, acc = 69.78
completed 140/164, Solved: False, number of success = 97/140, acc = 69.29
completed 141/164, Solved: False, number of success = 97/141, acc = 68.79
completed 142/164, Solved: False, number of success = 97/142, acc = 68.31
completed 143/164, Solved: True, number of success = 98/143, acc = 68.53
completed 144/164, Solved: True, number of success = 99/144, acc = 68.75
completed 145/164, Solved: False, number of success = 99/145, acc = 68.28
completed 146/164, Solved: False, number of success = 99/146, acc = 67.81
completed 147/164, Solved: True, number of success = 100/147, acc = 68.03
completed 148/164, Solved: True, number of success = 101/148, acc = 68.24
completed 149/164, Solved: False, number of success = 101/149, acc = 67.79
completed 150/164, Solved: True, number of success = 102/150, acc = 68.0
completed 151/164, Solved: True, number of success = 103/151, acc = 68.21
completed 152/164, Solved: True, number of success = 104/152, acc = 68.42
completed 153/164, Solved: True, number of success = 105/153, acc = 68.63
completed 154/164, Solved: True, number of success = 106/154, acc = 68.83
completed 155/164, Solved: True, number of success = 107/155, acc = 69.03
completed 156/164, Solved: True, number of success = 108/156, acc = 69.23
completed 157/164, Solved: True, number of success = 109/157, acc = 69.43
completed 158/164, Solved: True, number of success = 110/158, acc = 69.62
completed 159/164, Solved: True, number of success = 111/159, acc = 69.81
completed 160/164, Solved: False, number of success = 111/160, acc = 69.38
completed 161/164, Solved: False, number of success = 111/161, acc = 68.94
completed 162/164, Solved: True, number of success = 112/162, acc = 69.14
completed 163/164, Solved: True, number of success = 113/163, acc = 69.33
completed 164/164, Solved: False, number of success = 113/164, acc = 68.9
#########################
Running end Llama-3.1-8B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-18 19:22:05.067914-05:00
##########################

